Date,AvgPrice
2023-02-02,4168.93994
2023-02-01,4093.85754
2023-01-31,4048.76251
2023-01-30,4036.61005
2023-01-27,4066.79749
2023-01-26,4042.84253
2023-01-25,3991.88501
2023-01-24,4008.09998
2023-01-23,4002.22498
2023-01-20,3938.11755
2023-01-19,3904.79254
2023-01-18,3967.96503
2023-01-17,3997.55249
2023-01-13,3977.82751
2023-01-12,3974.01501
2023-01-11,3950.14258
2023-01-10,3901.23505
2023-01-09,3910.97504
2023-01-06,3858.55005
2023-01-05,3822.5
2023-01-04,3845.565
2023-01-03,3837.55499
2022-12-30,3827.18756
2022-12-29,3829.59247
2022-12-28,3810.47003
2022-12-27,3833.11499
2022-12-23,3825.68506
2022-12-22,3823.34998
2022-12-21,3861.81
2022-12-20,3816.48755
2022-12-19,3831.58752
2022-12-16,3865.52246
2022-12-15,3922.98505
2022-12-14,4007.5675
2022-12-13,4045.75494
2022-12-12,3963.96503
2022-12-09,3949.65247
2022-12-08,3955.33002
2022-12-07,3936.86249
2022-12-06,3964.44745
2022-12-05,4021.95001
2022-12-02,4054.74493
2022-12-01,4078.77246
2022-11-30,4013.99506
2022-11-29,3959.05994
2022-11-28,3984.33502
2022-11-25,4026.06006
2022-11-23,4015
2022-11-22,3982.96246
2022-11-21,3950.3775
2022-11-18,3961.89996
2022-11-17,3931.67255
2022-11-16,3968.26007
2022-11-15,3995.03748
2022-11-14,3975.14746
2022-11-11,3975.73749
2022-11-10,3908.62
2022-11-09,3780.48248
2022-11-08,3822.70251
2022-11-07,3791.53998
2022-11-04,3760.64502
2022-11-03,3725.46997
2022-11-02,3816.42743
2022-11-01,3878.37006
2022-10-31,3877.685
2022-10-28,3855.75
2022-10-27,3826.4325
2022-10-26,3841.69751
2022-10-25,3830.21002
2022-10-24,3777.935
2022-10-21,3703.78998
2022-10-20,3686.8175
2022-10-19,3698.34003
2022-10-18,3728.89001
2022-10-17,3661.24493
2022-10-14,3641.28998
2022-10-13,3591.8175
2022-10-12,3587.51508
2022-10-11,3598.45251
2022-10-10,3625.04248
2022-10-07,3668.46747
2022-10-06,3763.40997
2022-10-05,3766.52496
2022-10-04,3758.94244
2022-10-03,3647.8725
2022-09-30,3618.66748
2022-09-29,3656.22247
2022-09-28,3687.08252
2022-09-27,3668.63751
2022-09-26,3674.54749
2022-09-23,3698.74493
2022-09-22,3770.17499
2022-09-21,3839.47247
2022-09-20,3858.67749
2022-09-19,3872.18744
2022-09-16,3868.07751
2022-09-15,3920.29498
2022-09-14,3940.21497
2022-09-13,3982.05255
2022-09-12,4099.25745
2022-09-09,4047.51251
2022-09-08,3980.35748
2022-09-07,3945.80499
2022-09-06,3917.09497
2022-09-02,3960.88995
2022-09-01,3944.36499
2022-08-31,3981.39252
2022-08-30,4009.39996
2022-08-29,4036.40002
2022-08-26,4129.27502
2022-08-25,4175.12744
2022-08-24,4135.96252
2022-08-23,4136.40491
2022-08-22,4164.50256
2022-08-19,4244.95007
2022-08-18,4277.84497
2022-08-17,4277.42505
2022-08-16,4299.67749
2022-08-15,4281.30005
2022-08-12,4251.35498
2022-08-11,4223.49756
2022-08-10,4194.88745
2022-08-09,4126.24243
2022-08-08,4152.89514
2022-08-05,4129.98755
2022-08-04,4150.875
2022-08-03,4134.6875
2022-08-02,4103.92004
2022-08-01,4117.995
2022-07-29,4109.2475
2022-07-28,4042.61993
2022-07-27,3991.50751
2022-07-26,3934.5575
2022-07-25,3962.83002
2022-07-22,3977.83997
2022-07-21,3970.33746
2022-07-20,3947.84497
2022-07-19,3899.48999
2022-07-18,3858.92749
2022-07-15,3840.48999
2022-07-14,3768.08496
2022-07-13,3792.48999
2022-07-12,3836.63
2022-07-11,3865.88245
2022-07-08,3893.87
2022-07-07,3882.73755
2022-07-06,3839.33502
2022-07-05,3799.5625
2022-07-01,3797.06256
2022-06-30,3782.25745
2022-06-29,3819.86005
2022-06-28,3875.13751
2022-06-27,3909.5625
2022-06-24,3867.22247
2022-06-23,3779.13501
2022-06-22,3753.31494
2022-06-21,3743.76501
2022-06-17,3671.33002
2022-06-16,3690.72498
2022-06-15,3778.47504
2022-06-14,3745.71497
2022-06-13,3790.05743
2022-06-10,3937.44995
2022-06-09,4063.935
2022-06-08,4132.55762
2022-06-07,4125.55005
2022-06-06,4133.52759
2022-06-03,4121.86243
2022-06-02,4131.0274
2022-06-01,4122.84998
2022-05-31,4139.11487
2022-05-27,4117.89758
2022-05-26,4025.54504
2022-05-25,3958.17004
2022-05-24,3928.80743
2022-05-23,3946.02246
2022-05-20,3895.71503
2022-05-19,3905.58252
2022-05-18,3984.88745
2022-05-17,4066.375
2022-05-16,4012.87
2022-05-13,3997.6424
2022-05-12,3914.42505
2022-05-11,3975.79254
2022-05-10,4015.80499
2022-05-09,4032.315
2022-05-06,4119.2774
2022-05-05,4198.43506
2022-05-04,4234.4801
2022-05-03,4170.60999
2022-05-02,4129.57745
2022-04-29,4194.91003
2022-04-28,4251.79004
2022-04-27,4193.52246
2022-04-26,4226.63013
2022-04-25,4262.82495
2022-04-22,4327.76501
2022-04-21,4445.06006
2022-04-20,4467.18994
2022-04-19,4428.62488
2022-04-18,4389.48242
2022-04-14,4423.23499
2022-04-13,4421.87744
2022-04-12,4421.84497
2022-04-11,4436.97498
2022-04-08,4494.35999
2022-04-07,4486.57996
2022-04-06,4482.32495
2022-04-05,4551.29761
2022-04-04,4563.33008
2022-04-01,4535.61243
2022-03-31,4565.72754
2022-03-30,4608.93506
2022-03-29,4615.35498
2022-03-28,4552.48743
2022-03-25,4528.26746
2022-03-24,4493.97253
2022-03-23,4476.55505
2022-03-22,4492.95251
2022-03-21,4457.40747
2022-03-18,4431.60742
2022-03-17,4376.2749
2022-03-16,4314.22253
2022-03-15,4227.55493
2022-03-14,4196.28748
2022-03-11,4243.82751
2022-03-10,4247.53735
2022-03-09,4255.87
2022-03-08,4202.0426
2022-03-07,4263.73987
2022-03-04,4324.52258
2022-03-03,4381.78503
2022-03-02,4358.28503
2022-03-01,4331.84753
2022-02-28,4358.01746
2022-02-25,4338.79993
2022-02-24,4213.46252
2022-02-23,4278.36243
2022-02-22,4316.6825
2022-02-18,4363.81506
2022-02-17,4416.54749
2022-02-16,4462.49744
2022-02-15,4450.59985
2022-02-14,4401.33496
2022-02-11,4463.1626
2022-02-10,4532.63757
2022-02-09,4567.80249
2022-02-08,4499.56995
2022-02-07,4495.73755
2022-02-04,4493.62
2022-02-03,4506.53003
2022-02-02,4573.84998
2022-02-01,4525.03247
2022-01-31,4469.5625
2022-01-28,4373.30505
2022-01-27,4361.33252
2022-01-26,4379.09753
2022-01-25,4355.30249
2022-01-24,4351.60498
